Car_id,Publish_period,End_Date,Departure_Date,Distance_travelled,Color,N_Photos,Price,N_Inquires,is_sold
XL3-1567483,9,1.33E+18,1.34E+18,73570,White,26,50000,18,1
XL3-1084129,0,1.33E+18,1.34E+18,39623,White,28,90000,24,0
XL3-1084129,11,1.33E+18,1.34E+18,39623,White,28,70000,24,1
XL3-1162820,22,1.33E+18,1.34E+18,46219,Silver,27,90000,18,0
XL3-1162820,22,1.33E+18,1.34E+18,46219,Silver,27,60000,18,1
XL3-1540878,1,1.33E+18,1.34E+18,84257,White,29,90000,17,0
XL3-1540878,16,1.33E+18,1.34E+18,84257,White,29,55000,17,1
XL3-1525953,18,1.33E+18,1.34E+18,52705,Silver,28,90000,69,0
XL3-1525953,25,1.33E+18,1.34E+18,52705,Silver,28,50000,69,1
XL3-1553479,13,1.33E+18,1.34E+18,41069,Silver,28,90000,58,0
XL3-1553479,21,1.33E+18,1.34E+18,41069,Silver,28,50000,58,1
XL3-1025223,19,1.33E+18,1.34E+18,40943,White,27,90000,13,0
XL3-1025223,5,1.33E+18,1.34E+18,40943,White,27,65000,13,1
XL3-1183661,45,1.33E+18,1.34E+18,66105,Black,28,90000,11,0
XL3-1183661,0,1.33E+18,1.34E+18,66105,Black,28,60000,11,1
XL3-1061394,11,1.33E+18,1.34E+18,63361,White,28,90000,7,1
XL3-1005652,18,1.33E+18,1.34E+18,48501,Silver,29,70000,40,0
XL3-1005652,23,1.33E+18,1.34E+18,48501,Silver,29,50000,40,1
XL3-1547563,12,1.33E+18,1.34E+18,48697,Silver,28,90000,11,0
XL3-1547563,22,1.33E+18,1.34E+18,48697,Silver,28,70000,11,1
XL3-1254967,33,1.33E+18,1.34E+18,54430,Black,29,90000,5,0
XL3-1254967,3,1.33E+18,1.34E+18,54430,Black,29,70000,5,1
XL3-1235415,13,1.33E+18,1.34E+18,43826,White,29,110000,2,0
XL3-1235415,1,1.33E+18,1.34E+18,43826,White,29,90000,2,1
XL3-1036455,46,1.34E+18,1.34E+18,51987,Black,28,70000,28,0
XL3-1036455,1,1.34E+18,1.34E+18,51987,Black,28,40000,28,1
XL3-1021893,9,1.33E+18,1.34E+18,35142,Silver,28,90000,20,0
XL3-1021893,14,1.34E+18,1.34E+18,35142,Silver,28,65000,20,1
XL3-1042816,39,1.33E+18,1.34E+18,52848,Black,29,90000,29,0
XL3-1042816,6,1.34E+18,1.34E+18,52848,Black,29,50000,29,1
XL3-1171222,2,1.33E+18,1.34E+18,58033,White,28,90000,12,0
XL3-1171222,15,1.34E+18,1.34E+18,58033,White,28,65000,12,1
XL3-1078705,18,1.34E+18,1.34E+18,53321,White,28,90000,6,1
XL3-1136022,13,1.33E+18,1.34E+18,60896,Silver,28,90000,7,0
XL3-1136022,26,1.34E+18,1.34E+18,60896,Silver,28,65000,7,1
XL3-1010583,4,1.33E+18,1.34E+18,34714,White,28,90000,17,0
XL3-1010583,20,1.34E+18,1.34E+18,34714,White,28,55000,17,1
XL3-1546247,20,1.34E+18,1.34E+18,58892,White,28,90000,5,0
XL3-1546247,2,1.34E+18,1.34E+18,58892,White,28,70000,5,1
XL3-1270709,2,1.33E+18,1.34E+18,62465,Black,28,90000,26,0
XL3-1270709,35,1.34E+18,1.34E+18,62465,Black,28,55000,26,1
XL3-1023739,8,1.33E+18,1.34E+18,51916,Silver,28,90000,6,0
XL3-1023739,27,1.34E+18,1.34E+18,51916,Silver,28,60000,6,1
XL3-1007879,10,1.33E+18,1.34E+18,45246,White,28,90000,13,0
XL3-1007879,26,1.34E+18,1.34E+18,45246,White,28,85000,13,1
XL3-1087237,1,1.33E+18,1.34E+18,52947,Black,29,90000,41,0
XL3-1087237,47,1.34E+18,1.34E+18,52947,Black,29,65000,41,1
XL3-1017466,7,1.33E+18,1.34E+18,61656,Silver,28,90000,9,0
XL3-1017466,27,1.34E+18,1.34E+18,61656,Silver,28,55000,9,1
XL3-1037104,2,1.34E+18,1.34E+18,46128,White,29,90000,6,0
XL3-1037104,8,1.34E+18,1.34E+18,46128,White,29,65000,6,1
XL3-1017385,1,1.33E+18,1.34E+18,48639,Silver,28,90000,37,0
XL3-1017385,28,1.34E+18,1.34E+18,48639,Silver,28,55000,37,1
XL3-1044918,8,1.33E+18,1.34E+18,50880,White,28,90000,5,0
XL3-1044918,26,1.34E+18,1.34E+18,50880,White,28,70000,5,1
XL3-1068984,1,1.33E+18,1.34E+18,49253,Silver,28,90000,14,0
XL3-1068984,26,1.34E+18,1.34E+18,49253,Silver,28,50000,14,1
XL3-1511912,16,1.34E+18,1.34E+18,63159,White,28,90000,9,0
XL3-1511912,5,1.34E+18,1.34E+18,63159,White,28,65000,9,1
XL3-1546298,25,1.34E+18,1.34E+18,54658,Silver,28,90000,18,0
XL3-1546298,0,1.34E+18,1.34E+18,54658,Silver,28,55000,18,1
XL3-1563730,13,1.34E+18,1.34E+18,46548,White,29,90000,8,0
XL3-1563730,1,1.34E+18,1.34E+18,46548,White,29,80000,8,1
XL3-1562388,15,1.34E+18,1.34E+18,53754,White,28,90000,7,1
XL3-1218176,19,1.34E+18,1.34E+18,52809,White,29,90000,14,0
XL3-1218176,7,1.34E+18,1.34E+18,52809,White,29,50000,14,1
XL3-1020594,2,1.33E+18,1.34E+18,72442,Black,28,90000,25,0
XL3-1020594,40,1.34E+18,1.34E+18,72442,Black,28,60000,25,1
XL3-1521318,18,1.34E+18,1.34E+18,60713,Silver,28,90000,24,0
XL3-1521318,7,1.34E+18,1.34E+18,60713,Silver,28,60000,24,1
XL3-1071518,1,1.34E+18,1.34E+18,45700,White,29,90000,14,0
XL3-1071518,14,1.34E+18,1.34E+18,45700,White,29,70000,14,1
XL3-1021034,10,1.34E+18,1.34E+18,27083,White,29,90000,44,0
XL3-1021034,8,1.34E+18,1.34E+18,27083,White,29,70000,44,1
XL3-1209692,13,1.34E+18,1.34E+18,44939,White,28,90000,27,0
XL3-1209692,3,1.34E+18,1.34E+18,44939,White,28,65000,27,1
XL3-1561945,5,1.34E+18,1.34E+18,60695,Silver,28,90000,4,0
XL3-1561945,4,1.34E+18,1.34E+18,60695,Silver,28,70000,4,1
XL3-1139040,26,1.34E+18,1.35E+18,36386,Silver,29,90000,34,0
XL3-1139040,16,1.34E+18,1.35E+18,36386,Silver,29,60000,34,1
XL3-1086692,1,1.34E+18,1.34E+18,47512,White,29,90000,5,0
XL3-1086692,13,1.34E+18,1.34E+18,47512,White,29,60000,5,1
XL3-1513846,7,1.34E+18,1.34E+18,36820,White,29,90000,3,1
XL3-1017770,12,1.34E+18,1.34E+18,46590,White,27,90000,39,0
XL3-1017770,14,1.34E+18,1.34E+18,46590,White,27,60000,39,1
XL3-1531843,5,1.34E+18,1.34E+18,65833,Silver,27,90000,18,0
XL3-1531843,23,1.34E+18,1.34E+18,65833,Silver,27,50000,18,1
XL3-1519731,5,1.34E+18,1.34E+18,71125,Silver,28,90000,25,0
XL3-1519731,26,1.34E+18,1.34E+18,71125,Silver,28,65000,25,1
XL3-1263018,3,1.34E+18,1.34E+18,57357,White,27,90000,12,0
XL3-1263018,18,1.34E+18,1.34E+18,57357,White,27,70000,12,1
XL3-1062648,3,1.34E+18,1.34E+18,50666,Black,28,90000,29,0
XL3-1062648,34,1.34E+18,1.34E+18,50666,Black,28,75000,29,1
XL3-1007654,5,1.34E+18,1.34E+18,50875,White,28,90000,25,0
XL3-1007654,12,1.34E+18,1.34E+18,50875,White,28,60000,25,1
XL3-1013449,9,1.34E+18,1.34E+18,63289,Silver,28,90000,3,0
XL3-1013449,3,1.34E+18,1.34E+18,63289,Silver,28,80000,3,1
XL3-1045893,0,1.34E+18,1.34E+18,32995,White,29,90000,2,1
XL3-1036726,0,1.34E+18,1.34E+18,50425,White,29,90000,10,0
XL3-1036726,12,1.34E+18,1.34E+18,50425,White,29,70000,10,1
XL3-1139538,4,1.34E+18,1.34E+18,48701,Silver,29,90000,1,1
XL3-1008177,2,1.34E+18,1.35E+18,42980,Silver,28,90000,58,0
XL3-1008177,22,1.34E+18,1.35E+18,42980,Silver,28,60000,58,1
XL3-1017900,4,1.34E+18,1.34E+18,48115,White,28,90000,24,0
XL3-1017900,15,1.34E+18,1.34E+18,48115,White,28,70000,24,1
XL3-1004606,8,1.34E+18,1.34E+18,57891,White,29,90000,6,0
XL3-1004606,7,1.34E+18,1.34E+18,57891,White,29,70000,6,1
